term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4,meaninglanguage5,meaning5
abajo,"poco una muela de abajo, en este lado",Verb,yo,abajar,presente,Adverb,Noun,,,,,,,,,,,,,,,zh-cn,下,,,,,,,,
abandona,por qué no los abandona,Verb,él/ella/ud.,presente,abandonar,abandonarse,,,,,,,,,,,,,,,,zh-cn,抛弃,,,,,,,,
abandonada,una casa decrépita y abandonada,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,废弃的,,,,,,,,
abandonadas,...muertas y obras maestras abandonadas a merced de la...,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,弃，被遗弃的,,,,,,,,
abandonado,"...me pareció el cadáver abandonado de un palacio, o...",Verb,yo,pretérito perfecto compuesto,abandonar,abandonarse,Adjective,verb,abandonar,adjective,yo,pretérito perfecto compuesto,abandonarse,,,,,,,,,zh-cn,被遗弃的,,,,,,,,
abandonara,......,Verb,yo,subjuntivo pretérito imperfecto,abandonar,abandonarse,verb,abandonar,yo,abandonarse,subjuntivo pretérito imperfecto,,,,,,,,,,,zh-cn,放弃,,,,,,,,
abandonaron,"Harry, Ron y Hermione abandonaron juntos el castillo, cruzaron",Verb,pretérito perfecto simple,ellos/ellas/uds.,abandonar,abandonarse,,,,,,,,,,,,,,,,zh-cn,离开,,,,,,,,
abandono,,Verb,yo,presente,abandonar,abandonarse,Noun,,,,,,,,,,,,,,,zh-cn,m.抛弃；离开；自暴自弃；邋遢,,,,,,,,
abandonó,"este punto, la voz abandonó el interfono",Verb,pretérito perfecto simple,él/ella/ud.,abandonar,abandonarse,,,,,,,,,,,,,,,,zh-cn,离开,,,,,,,,
abarrotaban,...todos estaban despiertos y abarrotaban la sala circular común...,Verb,indicativo pretérito imperfecto,ellos/ellas/uds.,abarrotar,verb,ellos/ellas/uds.,abarrotar,indicativo pretérito imperfecto,,,,,,,,,,,,,zh-cn,挤满,,,,,,,,
